date,bank,description,amount,bank_balance,category,type
2025-10-01,HDFC,SALARY CREDIT ACME TECH,98000.0,140000.0,Income,Income
2025-10-02,HDFC,IMPS TO SBI HOME,-18000.0,122000.0,Transfer,Transfer
2025-10-03,HDFC,IMPS TO ICICI LIFE,-12000.0,110000.0,Transfer,Transfer
2025-10-05,HDFC,HOUSE RENT TRANSFER,-22000.0,88000.0,Rent,Transfer
2025-10-08,HDFC,HDFC BANK EMI,-6500.0,81500.0,EMI,Expense
2025-10-12,HDFC,NETFLIX INDIA,-649.0,80851.0,Subscriptions,Expense
2025-10-15,HDFC,SWIGGY,-450.0,80401.0,Food,Expense
2025-10-18,HDFC,ATM CASH WITHDRAWAL,-2000.0,78401.0,Others,Expense
2025-10-22,HDFC,ZOMATO,-320.0,78081.0,Food,Expense
2025-10-25,HDFC,STARBUCKS INDIA,-550.0,77531.0,Food,Expense
2025-10-28,HDFC,UBER TRIP,-280.0,77251.0,Transport,Expense
