date,bank,description,amount,bank_balance,category,type
2023-10-01,HDFC,SALARY CREDIT,70000.0,70000.0,Income,Income
2023-10-02,SBI,OPENING BALANCE,15000.0,15000.0,Income,Income
2023-10-04,HDFC,HOUSE RENT,-25000.0,45000.0,Rent,Expense
2023-10-05,ICICI,AMAZON SHOPPING,-12000.0,13000.0,Shopping,Expense
2023-10-10,SBI,BIGBASKET GROCERY,-4500.0,10500.0,Food,Expense
2023-10-12,ICICI,FLIPKART SALE,-8500.0,4500.0,Shopping,Expense
2023-10-15,HDFC,ZOMATO,-1200.0,43800.0,Food,Expense
2023-10-15,SBI,BESCOM BILL,-2200.0,8300.0,Utilities,Expense
2023-10-20,ICICI,MYNTRA CLOTHES,-5200.0,-700.0,Shopping,Expense
2023-11-01,HDFC,SALARY CREDIT,70000.0,113800.0,Income,Income
2023-11-04,HDFC,HOUSE RENT,-25000.0,88800.0,Rent,Expense
2023-11-05,ICICI,AMAZON PAY,-15000.0,-15700.0,Shopping,Expense
2023-11-05,SBI,RELIANCE FRESH,-5800.0,2500.0,Food,Expense
2023-11-12,ICICI,HDFC LIFE PREMIUM,-12000.0,-27700.0,EMI,Expense
2023-11-12,SBI,AIRTEL BROADBAND,-1500.0,1000.0,Utilities,Expense
2023-11-18,SBI,ATM CASH WITHDRAWAL,-2000.0,-1000.0,Others,Expense
2023-11-20,HDFC,CREDIT CARD SETTLEMENT,-45000.0,43800.0,Others,Expense
2023-12-01,HDFC,SALARY CREDIT,70000.0,113800.0,Income,Income
2023-12-02,ICICI,TRANSFER FROM SELF,30000.0,2300.0,Transfer,Transfer
2023-12-02,SBI,TRANSFER FROM SELF,10000.0,9000.0,Transfer,Transfer
2023-12-04,HDFC,HOUSE RENT,-25000.0,88800.0,Rent,Expense
2023-12-10,SBI,BIGBASKET,-3500.0,5500.0,Food,Expense
2023-12-15,ICICI,AMAZON SHOPPING,-9500.0,-7200.0,Shopping,Expense
2023-12-25,ICICI,APOLLO PHARMACY,-3400.0,-10600.0,Health,Expense
2023-12-25,SBI,DMART READY,-4200.0,1300.0,Food,Expense
2023-12-28,HDFC,SWIGGY,-1500.0,87300.0,Food,Expense
2024-01-01,HDFC,SALARY CREDIT,70000.0,157300.0,Income,Income
2024-01-04,HDFC,HOUSE RENT,-25000.0,132300.0,Rent,Expense
2024-01-05,SBI,RELIANCE FRESH,-3800.0,-2500.0,Food,Expense
2024-01-10,ICICI,AMAZON PAY,-18000.0,-28600.0,Shopping,Expense
2024-01-15,HDFC,FLIGHT BOOKING,-42000.0,90300.0,Others,Expense
2024-01-15,SBI,TRANSFER FROM SELF,5000.0,2500.0,Transfer,Transfer
2024-02-01,HDFC,SALARY CREDIT,70000.0,160300.0,Income,Income
2024-02-01,ICICI,TRANSFER FROM SELF,40000.0,11400.0,Transfer,Transfer
2024-02-02,SBI,BIGBASKET,-4500.0,-2000.0,Food,Expense
2024-02-04,HDFC,HOUSE RENT,-25000.0,135300.0,Rent,Expense
2024-02-10,HDFC,GADGET STORE,-55000.0,80300.0,Others,Expense
2024-02-10,SBI,RELIANCE FRESH,-3200.0,-5200.0,Food,Expense
2024-02-15,ICICI,FLIPKART,-22000.0,-10600.0,Shopping,Expense
2024-03-01,HDFC,SALARY CREDIT,70000.0,150300.0,Income,Income
2024-03-01,SBI,TRANSFER FROM SELF,15000.0,9800.0,Transfer,Transfer
2024-03-04,HDFC,HOUSE RENT,-25000.0,125300.0,Rent,Expense
2024-03-05,ICICI,AMAZON,-14000.0,-24600.0,Shopping,Expense
2024-03-12,SBI,BIGBASKET,-5600.0,4200.0,Food,Expense
2024-03-15,ICICI,HDFC LIFE PREMIUM,-12000.0,-36600.0,EMI,Expense
2024-03-20,HDFC,ZOMATO,-2200.0,123100.0,Food,Expense
2024-04-01,HDFC,SALARY CREDIT,70000.0,193100.0,Income,Income
2024-04-04,HDFC,HOUSE RENT,-25000.0,168100.0,Rent,Expense
2024-04-05,ICICI,TRANSFER FROM SELF,20000.0,-16600.0,Transfer,Transfer
2024-04-05,SBI,RELIANCE FRESH,-4800.0,-600.0,Food,Expense
2024-04-15,HDFC,VACATION EXPENSES,-80000.0,88100.0,Others,Expense
2024-04-15,ICICI,AMAZON SHOPPING,-28000.0,-44600.0,Shopping,Expense
